LF0,LF1,LF2,LF3,LF4,LF5,LF6,LF7
3.3121114,0.0,8.488132,11.049529,14.174756,3.8683205000000003,5.7439265,0.0
3.081058,0.0,8.91284,10.559306,16.636745,2.609328,8.545507,0.0
2.0177345,0.26215178,3.9647032999999996,7.273465600000001,7.201076,2.6403487,2.9967740000000003,0.0
0.0797465,4.4374285,2.6113727000000004,4.267181,2.0511377,2.7097322999999998,0.0,0.0
2.1134002,0.0,5.289187,6.0820374,9.116303,4.000808999999999,1.5345707,0.0
4.4335732000000005,1.2857515,1.0686401,1.4541752000000001,11.634797,4.2239685,0.48429620000000007,0.0
4.240396,0.0,3.5298262,5.252961599999999,13.131875,2.9578724,3.1487887000000003,0.0
2.9546456,0.0,3.956804,9.326106,13.998152,4.7465266999999995,5.0202575,0.0
1.3390928999999998,0.0,10.156911000000001,9.437842999999999,15.319629,3.5399089999999998,6.3446193,0.0
3.6410922999999995,0.0,6.7883997,8.762122999999999,15.879683499999999,3.6173352999999997,9.904886999999999,0.0
2.1257162,0.0,9.667776,9.539953,16.522000000000002,1.5166429,6.75315,0.0
3.2936146,0.3369011,3.7864244,5.8389416,8.460013,2.8119736,0.66969824,0.0
1.9310116999999998,1.1385538999999998,3.4240239000000003,4.2112713,3.9515169,2.33566,3.4138336000000002,0.0
0.7558377,0.33614308,5.558383999999999,11.1635475,10.470225,3.8587315,1.3131918,0.0
3.7822387,0.0,5.1612540000000005,8.962373,10.360866999999999,1.8434473000000002,1.3641881999999999,0.0
4.489628,0.0,5.2440095,5.2479787,10.357417,1.5790888,3.9149523,0.0
0.23033376,0.0,3.7692869,6.2607956,13.835935999999998,3.8205462,3.4120307,0.0
4.5597773,0.0,1.7045555000000001,5.829204,12.71042,2.2650228,9.86358,0.0
1.1085941000000001,1.7591546999999998,5.6716676,4.67861,6.432314,0.9504357,0.97965777,0.0
1.8970421999999998,0.0,6.005131700000001,9.176530999999999,11.213239,4.650266,3.5675564,0.0
0.0,0.45615290000000003,5.457919,7.8643765,8.226338,4.7205334,2.1823083999999997,0.0
0.95645934,0.0,7.81826,7.591596000000001,9.220689,1.3347428999999997,5.232158999999999,0.0
7.409668400000001,7.028977,3.6886222,5.5720987,0.22048502,3.797211,1.7641531000000004,0.0
