"sample","color_by","shape_by","observed","x","y"
"0","1","1","TRUE",8.23965443343109,12.3852282575602
"10","1","1","TRUE",-0.795807695585483,16.3693271541227
"1000","1","1","TRUE",-5.67066834130789,10.9131772142619
"1001","1","1","TRUE",13.8247761096677,-3.77410458656559
"1003","1","1","TRUE",7.64113693853215,9.11241176674783
"1005","1","1","TRUE",2.43259780050855,-7.77979565958399
"1006","1","1","TRUE",2.8987010725145,-8.90809891482379
"1008","1","1","TRUE",11.6493986020907,0.411882148445676
"1009","1","1","TRUE",15.9696962831834,-0.808259100981002
"101","1","1","TRUE",0.302726751431137,-17.4366208327547
"1010","1","1","TRUE",-6.08589668269918,-7.07946135926417
"1011","1","1","TRUE",10.1212624636465,-7.53891691312512
"1012","1","1","TRUE",3.2877995218372,6.86471383051711
"1014","1","1","TRUE",9.34075241645015,11.1066459689771
"1015","1","1","TRUE",3.33009328276203,-0.867394166597464
"1018","1","1","TRUE",6.1078333798429,-11.5678333105101
"102","1","1","TRUE",7.17998813650795,-0.560726731709954
"1021","1","1","TRUE",-4.50126348263649,7.23419412945227
"1023","1","1","TRUE",-10.6087303078169,6.438348966947
"1024","1","1","TRUE",3.13971386670466,-13.3560007311278
"1025","1","1","TRUE",7.82629375943069,-1.40652574743453
"1026","1","1","TRUE",0.213802951514698,7.11379521710812
"1027","1","1","TRUE",-3.81277501161551,-14.3156197962192
"1028","1","1","TRUE",-7.03564521459138,-5.70481964955319
"103","1","1","TRUE",-6.8013136571322,13.614764472875
"1030","1","1","TRUE",11.3508996559964,5.69610586335925
"1031","1","1","TRUE",4.79585783053194,20.2697688830933
"1032","1","1","TRUE",14.0483283994263,9.41237103504908
"1033","1","1","TRUE",12.6136948585078,-1.42612759331773
"1034","1","1","TRUE",-3.59924394781892,10.8310830354562
"1035","1","1","TRUE",1.33872151301484,15.9645001104388
"104","1","1","TRUE",14.3029161298182,-1.13695248126996
"106","1","1","TRUE",3.65359374696352,-1.90387440703677
"11","1","1","TRUE",-2.17386170343384,17.3084185830748
"110","1","1","TRUE",3.62875728931643,-5.37016500617004
"111","1","1","TRUE",-3.32745801843659,0.513611354465367
"113","1","1","TRUE",-16.4941081692859,-8.48044306346551
"116","1","1","TRUE",4.57429722914466,20.7764892199609
"117","1","1","TRUE",1.54640843188448,-2.8691155070244
"118","1","1","TRUE",-12.6793305081218,-9.02247869284774
"12","1","1","TRUE",13.8998592538933,4.62930185883205
"120","1","1","TRUE",-4.46621806918456,16.6740636009136
"121","1","1","TRUE",0.337131911124946,-11.6676150031435
"124","1","1","TRUE",11.0354782423017,5.35753226060718
"125","1","1","TRUE",-8.24821246944269,-10.038686237767
"127","1","1","TRUE",6.86522064576164,-7.06519453517772
"128","1","1","TRUE",8.57107767918128,-11.4203263843195
